,caseid_new,relationship_len,partner_deceased,relationship_quality_w1,category
592,932566,5.45,0,excellent,bottom_quartile
593,934261,10.0,0,excellent,second_quartile
594,935521,11.0,0,good,second_quartile
595,939441,32.0,0,fair,top_quartile
596,942656,30.0,0,excellent,top_quartile
597,943441,18.0,0,excellent,third_quartile
598,944531,18.0,0,excellent,third_quartile
599,945665,27.0,0,excellent,third_quartile
600,946371,24.0,0,good,third_quartile
601,948531,31.0,1,excellent,top_quartile
602,951271,14.0,0,excellent,second_quartile
603,952371,10.0,0,good,second_quartile
604,953681,40.0,0,excellent,top_quartile
605,954702,15.0,0,good,second_quartile
606,956591,30.0,0,good,top_quartile
607,959381,15.0,0,good,second_quartile
608,960593,12.0,0,good,second_quartile
609,963573,8.0,0,poor,bottom_quartile
610,965575,21.0,0,fair,third_quartile
611,966351,26.0,0,good,third_quartile
612,967663,50.0,0,good,top_quartile
613,971831,60.0,0,excellent,top_quartile
614,972391,12.0,0,excellent,second_quartile
615,973581,22.0,0,excellent,third_quartile
616,974591,30.0,0,excellent,top_quartile
617,976531,43.0,0,excellent,top_quartile
618,977741,59.0,0,fair,top_quartile
619,978651,53.0,0,excellent,top_quartile
620,979711,54.0,0,excellent,top_quartile
621,982591,9.0,0,excellent,bottom_quartile
622,983661,19.0,0,excellent,third_quartile
623,984451,33.0,0,good,top_quartile
624,985571,40.0,0,good,top_quartile
625,986481,38.0,0,good,top_quartile
626,987411,24.0,0,excellent,third_quartile
627,989215,11.0,0,excellent,second_quartile
628,990636,28.0,0,excellent,third_quartile
629,991466,11.0,0,good,second_quartile
630,992341,14.0,0,good,second_quartile
631,995656,17.0,0,good,second_quartile
632,998391,14.0,0,excellent,second_quartile
633,999231,9.0,0,good,bottom_quartile
634,1000561,39.0,0,excellent,top_quartile
635,1001791,58.0,0,good,top_quartile
636,1003291,15.0,0,excellent,second_quartile
637,1004741,62.0,0,good,top_quartile
638,1005421,27.0,0,fair,third_quartile
